week_ending,sex,age_band,observed_deaths,edition_year,is_final,source_filename
2015-12-25,All people,1-14,26,2015,False,2015_publishedweek2015.xls
2016-01-01,All people,1-14,12,2015,False,2015_publishedweek2015.xls
2016-01-08,All people,1-14,17,2016,False,2016_publishedweek522016.xls
2016-01-15,All people,1-14,24,2016,False,2016_publishedweek522016.xls
2016-01-22,All people,1-14,18,2016,False,2016_publishedweek522016.xls
2016-01-29,All people,1-14,14,2016,False,2016_publishedweek522016.xls
2016-02-05,All people,1-14,22,2016,False,2016_publishedweek522016.xls
2016-02-12,All people,1-14,21,2016,False,2016_publishedweek522016.xls
2016-02-19,All people,1-14,22,2016,False,2016_publishedweek522016.xls
2016-02-26,All people,1-14,20,2016,False,2016_publishedweek522016.xls
2016-03-04,All people,1-14,21,2016,False,2016_publishedweek522016.xls
2016-03-11,All people,1-14,22,2016,False,2016_publishedweek522016.xls
2016-03-18,All people,1-14,22,2016,False,2016_publishedweek522016.xls
2016-03-25,All people,1-14,18,2016,False,2016_publishedweek522016.xls
2016-04-01,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-04-08,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-04-15,All people,1-14,18,2016,False,2016_publishedweek522016.xls
2016-04-22,All people,1-14,24,2016,False,2016_publishedweek522016.xls
2016-04-29,All people,1-14,22,2016,False,2016_publishedweek522016.xls
2016-05-06,All people,1-14,23,2016,False,2016_publishedweek522016.xls
2016-05-13,All people,1-14,19,2016,False,2016_publishedweek522016.xls
2016-05-20,All people,1-14,21,2016,False,2016_publishedweek522016.xls
2016-05-27,All people,1-14,19,2016,False,2016_publishedweek522016.xls
2016-06-03,All people,1-14,19,2016,False,2016_publishedweek522016.xls
2016-06-10,All people,1-14,21,2016,False,2016_publishedweek522016.xls
2016-06-17,All people,1-14,22,2016,False,2016_publishedweek522016.xls
2016-06-24,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-07-01,All people,1-14,13,2016,False,2016_publishedweek522016.xls
2016-07-08,All people,1-14,18,2016,False,2016_publishedweek522016.xls
2016-07-15,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-07-22,All people,1-14,18,2016,False,2016_publishedweek522016.xls
2016-07-29,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-08-05,All people,1-14,19,2016,False,2016_publishedweek522016.xls
2016-08-12,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-08-19,All people,1-14,17,2016,False,2016_publishedweek522016.xls
2016-08-26,All people,1-14,16,2016,False,2016_publishedweek522016.xls
2016-09-02,All people,1-14,14,2016,False,2016_publishedweek522016.xls
2016-09-09,All people,1-14,23,2016,False,2016_publishedweek522016.xls
2016-09-16,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-09-23,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-09-30,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-10-07,All people,1-14,21,2016,False,2016_publishedweek522016.xls
2016-10-14,All people,1-14,14,2016,False,2016_publishedweek522016.xls
2016-10-21,All people,1-14,21,2016,False,2016_publishedweek522016.xls
2016-10-28,All people,1-14,16,2016,False,2016_publishedweek522016.xls
2016-11-04,All people,1-14,21,2016,False,2016_publishedweek522016.xls
2016-11-11,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-11-18,All people,1-14,26,2016,False,2016_publishedweek522016.xls
2016-11-25,All people,1-14,26,2016,False,2016_publishedweek522016.xls
2016-12-02,All people,1-14,15,2016,False,2016_publishedweek522016.xls
2016-12-09,All people,1-14,28,2016,False,2016_publishedweek522016.xls
2016-12-16,All people,1-14,22,2016,False,2016_publishedweek522016.xls
2016-12-23,All people,1-14,16,2016,False,2016_publishedweek522016.xls
2016-12-30,All people,1-14,7,2016,False,2016_publishedweek522016.xls
2017-01-06,All people,1-14,18,2017,False,2017_publishedweek522017.xls
2017-01-13,All people,1-14,18,2017,False,2017_publishedweek522017.xls
2017-01-20,All people,1-14,19,2017,False,2017_publishedweek522017.xls
2017-01-27,All people,1-14,16,2017,False,2017_publishedweek522017.xls
2017-02-03,All people,1-14,14,2017,False,2017_publishedweek522017.xls
2017-02-10,All people,1-14,17,2017,False,2017_publishedweek522017.xls
2017-02-17,All people,1-14,18,2017,False,2017_publishedweek522017.xls
2017-02-24,All people,1-14,20,2017,False,2017_publishedweek522017.xls
2017-03-03,All people,1-14,22,2017,False,2017_publishedweek522017.xls
2017-03-10,All people,1-14,17,2017,False,2017_publishedweek522017.xls
2017-03-17,All people,1-14,7,2017,False,2017_publishedweek522017.xls
2017-03-24,All people,1-14,13,2017,False,2017_publishedweek522017.xls
2017-03-31,All people,1-14,20,2017,False,2017_publishedweek522017.xls
2017-04-07,All people,1-14,21,2017,False,2017_publishedweek522017.xls
2017-04-14,All people,1-14,20,2017,False,2017_publishedweek522017.xls
2017-04-21,All people,1-14,19,2017,False,2017_publishedweek522017.xls
2017-04-28,All people,1-14,20,2017,False,2017_publishedweek522017.xls
2017-05-05,All people,1-14,18,2017,False,2017_publishedweek522017.xls
2017-05-12,All people,1-14,23,2017,False,2017_publishedweek522017.xls
2017-05-19,All people,1-14,18,2017,False,2017_publishedweek522017.xls
2017-05-26,All people,1-14,21,2017,False,2017_publishedweek522017.xls
2017-06-02,All people,1-14,12,2017,False,2017_publishedweek522017.xls
2017-06-09,All people,1-14,27,2017,False,2017_publishedweek522017.xls
2017-06-16,All people,1-14,20,2017,False,2017_publishedweek522017.xls
2017-06-23,All people,1-14,17,2017,False,2017_publishedweek522017.xls
2017-06-30,All people,1-14,13,2017,False,2017_publishedweek522017.xls
2017-07-07,All people,1-14,23,2017,False,2017_publishedweek522017.xls
2017-07-14,All people,1-14,23,2017,False,2017_publishedweek522017.xls
2017-07-21,All people,1-14,19,2017,False,2017_publishedweek522017.xls
